,lat,lng,timestamp
0,42.30528715536234,-71.11271132721669,2021-07-17 03:08:25
1,42.30542883691297,-71.11271999925138,2021-07-17 03:10:03
2,42.3055677955184,-71.11268984966578,2021-07-17 03:10:20
3,42.30540175312425,-71.11269760063826,2021-07-17 03:10:34
4,42.30541979422511,-71.11250372320663,2021-07-17 03:12:03
5,42.30542333510566,-71.11230741524504,2021-07-17 03:12:16
6,42.30548923856623,-71.11214563364467,2021-07-17 03:12:26
7,42.30541025996565,-71.11197509897227,2021-07-17 03:12:34
8,42.3054132707944,-71.11179165501451,2021-07-17 03:12:46
9,42.30541182570256,-71.11160959859615,2021-07-17 03:12:57
10,42.30546883019676,-71.11144200799404,2021-07-17 03:13:10
11,42.30559602883253,-71.11137190545996,2021-07-17 03:13:34
12,42.30548649442683,-71.11123813441417,2021-07-17 03:14:44
13,42.3055982408422,-71.11134882689446,2021-07-17 03:15:09
14,42.30545731064986,-71.11135699779693,2021-07-17 03:15:24
15,42.30542986871238,-71.11153610506278,2021-07-17 03:15:33
16,42.30542325979933,-71.11172967027213,2021-07-17 03:15:44
17,42.30543263084216,-71.11191291993428,2021-07-17 03:15:55
18,42.30541786513155,-71.1121073081571,2021-07-17 03:16:07
19,42.30545009829505,-71.11230499762593,2021-07-17 03:16:18
20,42.30544118257539,-71.1124928676262,2021-07-17 03:16:28
21,42.30544239061335,-71.11267706542726,2021-07-17 03:16:39
22,42.30543293559634,-71.11286060941106,2021-07-17 03:16:49
23,42.30543634756042,-71.11307378259507,2021-07-17 03:17:02
24,42.30538557051016,-71.11325124317271,2021-07-17 03:17:12
25,42.30532353438836,-71.11344043639951,2021-07-17 03:17:22
26,42.305290455941,-71.11362603622214,2021-07-17 03:17:33
27,42.30536252226814,-71.11382106147434,2021-07-17 03:17:42
28,42.30538063121702,-71.11401628743683,2021-07-17 03:17:54
29,42.30539593774715,-71.11419799783089,2021-07-17 03:18:03
30,42.30544287119049,-71.11437213854843,2021-07-17 03:18:15
31,42.30535347183176,-71.11453824829528,2021-07-17 03:18:24
32,42.30545344396742,-71.11467784111872,2021-07-17 03:18:38
33,42.3055877755063,-71.11469923844008,2021-07-17 03:18:44
34,42.30551730991305,-71.11443854724511,2021-07-17 03:20:16
35,42.30549290037096,-71.11425393827824,2021-07-17 03:20:25
36,42.30547697744394,-71.11405779525461,2021-07-17 03:20:36
37,42.30549417594226,-71.11385452467515,2021-07-17 03:20:47
38,42.30544916155238,-71.11367972061258,2021-07-17 03:21:01
39,42.3054549013324,-71.1134884254097,2021-07-17 03:21:10
40,42.30546377339364,-71.11328464718025,2021-07-17 03:21:19
41,42.30549721742333,-71.1131004262544,2021-07-17 03:21:31
42,42.30543956706439,-71.11291252928702,2021-07-17 03:21:43
43,42.30543899869574,-71.112729186902,2021-07-17 03:21:52
44,42.3054617895423,-71.11252976038892,2021-07-17 03:21:59
45,42.30545300030531,-71.11234718827602,2021-07-17 03:22:09
46,42.30546364564501,-71.11216110064692,2021-07-17 03:22:20
47,42.30546294179312,-71.11197848404039,2021-07-17 03:22:30
48,42.30545938513099,-71.11178100790258,2021-07-17 03:22:41
49,42.30545729270479,-71.11159657685397,2021-07-17 03:22:51
50,42.30545484756486,-71.11140835108037,2021-07-17 03:22:59
51,42.30559003920393,-71.11138168096797,2021-07-17 03:23:09
52,42.30543831519685,-71.1113336628767,2021-07-17 03:24:02
53,42.30538704192533,-71.11157744333067,2021-07-17 03:24:06
54,42.30539961529006,-71.11176485320776,2021-07-17 03:24:09
55,42.30540949746759,-71.11194795422473,2021-07-17 03:24:11
56,42.30541435642854,-71.1121475776383,2021-07-17 03:24:13
57,42.30541392601992,-71.11237028931203,2021-07-17 03:24:15
58,42.30541425548836,-71.11260703462237,2021-07-17 03:24:17
59,42.30541640439847,-71.11288107382276,2021-07-17 03:24:19
60,42.30541877306307,-71.11317475075094,2021-07-17 03:24:21
61,42.30542042938612,-71.11346815782734,2021-07-17 03:24:23
62,42.30542147422998,-71.11374442745517,2021-07-17 03:24:25
63,42.30542358551872,-71.11399731180367,2021-07-17 03:24:27
64,42.30542467182112,-71.11423874056909,2021-07-17 03:24:30
65,42.30542552738431,-71.11442478487457,2021-07-17 03:24:38
66,42.30543285203976,-71.11461484830015,2021-07-17 03:25:46
67,42.30557115374303,-71.11469629705306,2021-07-17 03:25:59
68,42.30571623219721,-71.11474481776108,2021-07-17 03:26:09
69,42.30589477255737,-71.11481847082743,2021-07-17 03:26:12
70,42.30603364810557,-71.11489686324893,2021-07-17 03:26:14
71,42.30617571056036,-71.11497879114931,2021-07-17 03:26:16
72,42.30631947651842,-71.11505440680352,2021-07-17 03:26:18
73,42.30649732743175,-71.11514161655589,2021-07-17 03:26:21
74,42.30669361428157,-71.11523126508551,2021-07-17 03:26:24
75,42.30684005202016,-71.11528925695437,2021-07-17 03:26:26
76,42.30702014993429,-71.11534088843337,2021-07-17 03:26:29
77,42.30716451474942,-71.11539545191101,2021-07-17 03:26:32
78,42.30730075607543,-71.11542758758557,2021-07-17 03:26:39
79,42.3074530920527,-71.11544148249268,2021-07-17 03:26:47
80,42.30758974878322,-71.1154532305142,2021-07-17 03:26:50
81,42.3077478660288,-71.11546088999857,2021-07-17 03:26:53
82,42.30790447509416,-71.11547047799048,2021-07-17 03:26:56
83,42.30807710373999,-71.11548047578172,2021-07-17 03:26:59
84,42.30821364759257,-71.11548927421494,2021-07-17 03:27:01
85,42.30834976647456,-71.11549891620018,2021-07-17 03:27:03
86,42.30853922889891,-71.11552453640658,2021-07-17 03:27:06
